district,mandal,village,unit_name,line_of_activity,sector,investment,number_of_employees,application_date,approval_date,progress_of_implementation,in_online,social_status
Rangareddy,Kothur,Nandigam,HERBOCHEM (INDIA) PRIVATE LIMITED,Ayurvedic and homeopathic medicines (without boiler),Pharmaceuticals and Chemicals,2.0,40,16/01/2022,20/01/2022,Yet to Start Construction,Yes,General
Medak,Chegunta,Reddipally,GSN FERRO ALLOYS (P) LTD.,"Ferrous and Non- ferrous metal extraction involving different furnaces through melting, refining, re-processing, casting and alloy-making",Engineering,7.95,50,20/01/2022,20/01/2022,Yet to Start Construction,Yes,General
Mahbubnagar,Addakal,Vemula,SGD Pharma India Private Limited,Manufacturing of glass,Granite and Stone Crushing,72.9,400,25/12/2021,20/01/2022,Yet to Start Construction,Yes,General
Medchal,Medchal,Nuthankal,M/s. Prestige Constructions,Stone crushers,Granite and Stone Crushing,30.0,10,29/12/2021,20/01/2022,Yet to Start Construction,Yes,General
Medchal,Shamirpet,Turkapally,Crescentia Labs Private Limited,"Industrial estates/ parks/ complexes/ areas, Export Processing Zones (EPZs), Special Economic Zones (SEZs), Biotech parks, Leather complexes",,6.39,20,01/01/2022,20/01/2022,Yet to Start Construction,Yes,General
Narayanpet,Kosgi,Kosgi,M/S Challa Rachana Industries,"Blending of mela mine resins & different powder, additives by physical mixing",Pharmaceuticals and Chemicals,0.46,10,12/01/2022,20/01/2022,Yet to Start Construction,Yes,OBC
Sangareddy,Patancheru,Pashamylaram,M/s Mylan Laboratories Limited Unit-VII,Pharmaceuticals,Pharmaceuticals and Chemicals,30.0,697,16/12/2021,20/01/2022,Yet to Start Construction,Yes,General
Rangareddy,Maheswaram,Mankhal,RGS POLY PLAST,Polythene and plastic processed products manufacturing(Virgin Plastic),Plastic and Rubber,1.3949,9,27/08/2021,20/01/2022,Yet to Start Construction,Yes,General
Jagtial,Sarangapur,Pembetla,M/s. JAI SRI RAM POULTRY FARM,Food and food processing including fruits and vegetable processing,Food Processing,0.13,6,06/01/2022,20/01/2022,Yet to Start Construction,Yes,OBC
Rangareddy,Kothur,Kothur,ANAND SONI AND SUSHMA SONI,Wire drawing and wire netting,Engineering,1.126,10,25/09/2020,20/01/2022,Yet to Start Construction,Yes,General
Rangareddy,Kothur,Kothur,PRAVEEN KUMAR SONI,Bakery /confectionery /sweets products (with production capacity less than 1 tpd (with gas or electrical oven),Food Processing,0.45,7,03/08/2021,20/01/2022,Yet to Start Construction,Yes,General
Bhadradri Kothagudem,Yellandu,Challa Samudram,M/S.RAFI FLOUR AND CHILLI MILL,Flour mills (dry process),Food Processing,0.09,2,11/01/2022,20/01/2022,Yet to Start Construction,Yes,General
Jangaon,Jangaon,Gangupahad,Laxminarasimha poultry farms,"Dairy Farm (Stand-alone or isolated dairy farm, having 15 animals & above)",Others,0.13,1,11/01/2022,20/01/2022,Yet to Start Construction,Yes,OBC
Karimnagar,Manakondur,Pachchunur,M/S. SRINIVASA ENTERPRISES,Mineralized water,Beverages,0.1,4,05/01/2022,20/01/2022,COMMENCED OPERATIONS,Yes,OBC
Jangaon,Bachannapet,Padamati Keshavapur,Siddeshwara Poultry Farm,"Dairy Farm (Stand-alone or isolated dairy farm, having 15 animals & above)",Others,0.17,2,11/01/2022,20/01/2022,Yet to Start Construction,Yes,OBC
Jangaon,Bachannapet,Kesireddipalle,Reddy Poultry Frams,"Dairy Farm (Stand-alone or isolated dairy farm, having 15 animals & above)",Others,0.2,4,12/01/2022,20/01/2022,Yet to Start Construction,Yes,General
Mahabubabad,Kesamudram,Beriwada,SRI GANAPATHI COLD STORAGE,"Chilling plant, cold storage and ice making",Agro based incl Cold Storages,9.6112,15,29/12/2021,20/01/2022,Yet to Start Construction,Yes,General
Sircilla,Chandurthi,Moodepalle,M/s. SRI LAXMI NARASIMHA POULTRY FARM,Food and food processing including fruits and vegetable processing,Food Processing,0.21,8,07/01/2022,20/01/2022,Yet to Start Construction,Yes,OBC
Nalgonda,Pedda Adiserla Palle,Vaddipatla,M/S.SRI TULJA BHAVANI POULTRY FARM,Food and food processing including fruits and vegetable processing,Food Processing,0.25,4,06/01/2022,20/01/2022,Yet to Start Construction,Yes,ST
Nalgonda,Pedda Adiserla Palle,Vaddipatla,M/S.KANAKADURGA POULTRYFARM,Food and food processing including fruits and vegetable processing,Food Processing,0.22,4,06/01/2022,20/01/2022,Yet to Start Construction,Yes,ST
Nalgonda,Devarakonda,Devarakonda,GALAXY ALAM ENGINEERING WORKS & PLASTIC INDUSTRY,Polythene and plastic processed products manufacturing(Virgin Plastic),Plastic and Rubber,0.25,10,06/01/2022,20/01/2022,Yet to Start Construction,Yes,OBC
Nalgonda,Nalgonda,Panagallu (Rural),VDY POULTRY FARM,Food and food processing including fruits and vegetable processing,Food Processing,0.25,5,30/12/2021,20/01/2022,Yet to Start Construction,Yes,OBC
Medchal,Kukatpally,Kukatpally,M/S. POOJA INDUSTRIES,Engineering and fabrication units (dry process without any heat treatment / metal surface finishing operations / painting),Engineering,0.25,5,17/12/2021,20/01/2022,Yet to Start Construction,Yes,General
Siddipet,Gajwel,Bayyaram,SHREE SHARADA RICE INDUSTRIES,Rice mill (Rice hullers only),Food Processing,0.25,6,10/01/2022,20/01/2022,Yet to Start Construction,Yes,General
Wanaparthy,Wanaparthy,Natchahalli,RILIK AGROFARM INDUSTRIES(OPC) PRIVATE LIMITED,Parboiled Rice Mills,Food Processing,3.2684,25,10/01/2022,20/01/2022,ADVANCED STAGE,Yes,SC
Sangareddy,Zahirabad,Thammadpalli,SAI SERVICE PVT LTD,"Automobile servicing, repairing andpainting (excluding only fuel dispensing)",Engineering,0.24,20,24/12/2021,19/01/2022,Yet to Start Construction,Yes,General
Kamareddy,Gandhari,Chedmal,MANDU ANIL,Fish processing and packing (excluding chilling of fishes),Food Processing,0.13,2,11/01/2022,19/01/2022,Yet to Start Construction,Yes,ST
Siddipet,Dubbak,Dharmajipet,SRI RENUKA DEVI POULTRY,Food and food processing including fruits and vegetable processing,Food Processing,0.1259,4,14/01/2022,19/01/2022,Yet to Start Construction,Yes,OBC
Siddipet,Cherial,Musthiyala,PRABHU KRUPA POULTRY,Food and food processing including fruits and vegetable processing,Food Processing,0.4095,4,13/01/2022,19/01/2022,Yet to Start Construction,Yes,OBC
Sangareddy,Patancheru,Pashamylaram,RR LABORATORIES,Organic Chemicalsmanufacturing,Pharmaceuticals and Chemicals,10.0,65,22/10/2021,19/01/2022,Yet to Start Construction,Yes,General
Medchal,Keesara,Keesara,Chilkuri Enterprises,"Industries engaged in recycling /reprocessing/ recovery/reuse ofHazardous Waste under schedule iv of HW{ M, H& TBM) rules, 2008 -items namely -Lead acid battery plates and otherlead scrap/ashes/residues notcovered under Batteries (Management and Handling) Rules, 2001. [ * Battery scrap, namely:Lead battery plates covered by ISRI, Code word ""Rails"" Battery lugscovered by ISR1, Code word ""Rakes"". Scrap drained/dry while intact, lead batteries covered by ISRI, Code word ""rains"".",Pharmaceuticals and Chemicals,0.05,3,18/12/2021,19/01/2022,Yet to Start Construction,Yes,General
Medak,Manoharabad,Kondapur,PREM COT,Surgical and medical products including prophylactics and latex,Others,5.0,35,21/06/2021,19/01/2022,Yet to Start Construction,Yes,General
Rangareddy,Saroornagar,Nadargul (Rural),INDU ENGINEERING WORKS,Engineering and fabrication units (dry process without any heat treatment / metal surface finishing operations / painting),Engineering,2.058,15,22/12/2021,19/01/2022,Yet to Start Construction,Yes,OBC
Rangareddy,Kothur,Kothur,ABHEDYA INDUSTRIES LTD,Bakery and confectionery units with production capacity> 1 TPD. ( Withovens / furnaces),Food Processing,0.61,150,18/11/2020,19/01/2022,Yet to Start Construction,Yes,General
Warangal,Warangal,Paidipally,M/S.B K Y BRICKS,Brickfields ( excluding fly ash brick manufacturing using lime process),"Cement, Cement & Concrete Products, Fly Ash Bricks",0.2,20,08/01/2022,19/01/2022,Yet to Start Construction,Yes,OBC
Sircilla,Vemulawada,Vemulawada (R),M/s. RAJA RAJESHWARA FLOUR MILL,Flour mills (dry process),Food Processing,0.1,3,07/01/2022,19/01/2022,Yet to Start Construction,Yes,General
Nizamabad,Nizamabad South,Arsapally (Part),M/s BHARATH FLOUR MILL,Flour mills (dry process),Food Processing,0.04,2,11/01/2022,19/01/2022,Yet to Start Construction,Yes,OBC
Nizamabad,Armur,Ankapur,M/s SAMAGA AGRO PRO PRIVATE LIMITED,Food and food processing including fruits and vegetable processing,Food Processing,0.07,3,13/01/2022,19/01/2022,Yet to Start Construction,Yes,General
Mahbubnagar,Jadcherla,Polepalle,M/S. HELIOUS SPECIALTY GASES PRIVATE LIMITED,Oil & Gas extraction including CBM (offshore & onshore extraction through drilling wells),Others,0.25,5,11/01/2022,19/01/2022,Yet to Start Construction,Yes,General
Mahbubnagar,Jadcherla,Jadcherla,MANSITARA FOODS PRIVATE LIMITED,Bakery /confectionery /sweets products (with production capacity less than 1 tpd (with gas or electrical oven),Food Processing,1.39,15,10/01/2022,19/01/2022,Yet to Start Construction,Yes,General
Rangareddy,Maheswaram,Kongar Khurd (A),ADURU CONSTRUCTIONS & BUILDERS PVT LTD,Ready mix cement concrete,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.24,20,29/08/2021,18/01/2022,YET TO START CONSTRUCTION,Yes,General
Mahabubabad,Narsimhulapet,Datla,M/s. Sai Manikanta Constructions,Stone crushers,Granite and Stone Crushing,1.9,18,04/01/2022,18/01/2022,Yet to Start Construction,Yes,OBC
Hanumakonda,Dharmasagar,Narayanagiri,SR INFRA PROJECTS,Stone crushers,Granite and Stone Crushing,1.43,9,03/01/2022,18/01/2022,Yet to Start Construction,Yes,General
Nirmal,Nirmal,Soan,LAXMI NARSIMHA SWAMY OIL MILL,Oil mill ghani & extraction ( no hydrogenation / refining),Food Processing,0.04,2,13/01/2022,18/01/2022,Yet to Start Construction,Yes,OBC
Sangareddy,Patancheru,Sultanpur,SMT Cardiovascular Pvt Ltd,Surgical and medical products assembling only (not involving effluent / emission generating processes),Others,10.91,300,11/01/2022,18/01/2022,Yet to Start Construction,Yes,General
Adilabad,Adilabad(Rural),Chanda,M/s Ramesh Cement Bricks,Brickfields ( excluding fly ash brick manufacturing using lime process),"Cement, Cement & Concrete Products, Fly Ash Bricks",0.063,5,13/01/2022,18/01/2022,YET TO START CONSTRUCTION,Yes,OBC
Adilabad,BHEEMPUR (NEW),Antergaon,M/S. JAI HANUMAN CEMENT BRICKS PLANT,"Cement products (without using asbestos / boiler / steam curing) like pipe ,pillar, jafri, well ring, block/tiles etc.(should be done in closed covered shed to control fugitive emissions)","Cement, Cement & Concrete Products, Fly Ash Bricks",0.1,5,13/01/2022,18/01/2022,COMMENCED OPERATIONS,Yes,OBC
Suryapet,Mella Cheruvu,Mella Cheruvu,My Home Industries Private Limited,Cement,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.0,0,14/12/2021,18/01/2022,Yet to Start Construction,Yes,General
Jagtial,Medipalle,ThombaraoPeta,SRI SAI SHARANYA POULTRY FARM,Food and food processing including fruits and vegetable processing,Food Processing,0.18,6,03/01/2022,18/01/2022,Yet to Start Construction,Yes,OBC
Rangareddy,Hayathnagar,Bagh Hayathnagar,Sri Jayalakshmi Automotive (P) Ltd,Diesel pump repairing and servicing ( complete mechanical dry process),Engineering,2.65,30,22/12/2021,18/01/2022,YET TO START CONSTRUCTION,Yes,General
Medchal,Shamirpet,Ponnal,M/s. Navaratnaa CropScience Private Limited,Fertilizer (granulation/ formulation/ Blending only),"Fertlizers Organic and Inorganic,Pesticides,Insecticides, and Other Related",0.25,7,31/12/2021,18/01/2022,Yet to Start Construction,Yes,General
Rangareddy,Hayathnagar,Bagh Hayathnagar,Anugu Kavitha,Diesel pump repairing and servicing ( complete mechanical dry process),Engineering,0.7202,10,08/11/2021,18/01/2022,YET TO START CONSTRUCTION,Yes,General
Rangareddy,Kothur,Kothur,AGRO TECH FOODS LIMITED,Steeping and processing of grains,Food Processing,7.95,10,22/12/2021,18/01/2022,Yet to Start Construction,Yes,General
Adilabad,Jainad,Jainad,"M/S, G.V.R. CEMENT BRICKS",Fly ash bricks/ block manufacturing,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.14,5,08/01/2022,18/01/2022,YET TO START CONSTRUCTION,Yes,General
Nizamabad,Mortad,Tadpakal,M/S PRANAVI RICE MILL,Rice mill (Rice hullers only),Food Processing,0.6,10,11/01/2022,18/01/2022,INITIAL STAGE,Yes,OBC
Medchal,Medchal,Ravalkole,SGM SEED PROCESSING,Seed processing by Solar drying,Others,0.25,20,05/01/2022,18/01/2022,Yet to Start Construction,Yes,General
Suryapet,Munagala,Nelamarri,CHILAKALAMARRI GOVINDACHARI,Stone crushers,Granite and Stone Crushing,0.25,4,05/01/2022,18/01/2022,Yet to Start Construction,Yes,OBC
Medchal,Qutubullapur,Jeedimetla,KAMALASHRI POLY SACKS,Polythene and plastic processed products manufacturing(Virgin Plastic),Plastic and Rubber,0.25,8,05/01/2022,18/01/2022,Yet to Start Construction,Yes,General
Rangareddy,Maheswaram,Mankhal,M/s. Akshaya Polymers,Polythene and plastic processed products manufacturing(Virgin Plastic),Plastic and Rubber,0.2,5,05/01/2022,18/01/2022,YET TO START CONSTRUCTION,Yes,General
Medchal,Qutubullapur,Jeedimetla,M/S. TEENA AVENUES PRIVATE LIMITED,Engineering and fabrication units (dry process without any heat treatment / metal surface finishing operations / painting),Engineering,0.25,5,05/01/2022,18/01/2022,Yet to Start Construction,Yes,General
Medchal,Qutubullapur,Gajularamaram,SUGUNA TECHNOLOGIES,Electrical and electronic item assembling ( completely dry process),Electrical and Electronic Products,1.4,10,24/12/2021,17/01/2022,Yet to Start Construction,Yes,General
Asifabad,Wankdi,Bambara,NG Green Energy,"Industries engaged in recycling / reprocessing/ recovery/reuse of Hazardous Waste underschedule iv of HW( M, H& TBM) rules, 2008 - Items namely -Spent cleared metal catalystcontaining copper„Spent cleared metal catalystcontaining zinc„",Pharmaceuticals and Chemicals,3.0,10,14/12/2021,17/01/2022,Yet to Start Construction,Yes,SC
Sircilla,Boinpalle,Vilasagar,M/s. SREEKARA GRANITES,"Cutting, sizing and polishing of marble stone",Granite and Stone Crushing,0.25,15,05/01/2022,17/01/2022,Yet to Start Construction,Yes,General
Bhadradri Kothagudem,Palwancha,Palwancha,M/S. SRI KANAKADURGA DAIRY AND POULTRY FARMS,"Dairy Farm (Stand-alone or isolated dairy farm, having 15 animals & above)",Others,0.2,4,06/01/2022,17/01/2022,Yet to Start Construction,Yes,General
Karimnagar,Kothapally,Nagulamallial,M/s. RUDHRA GRANITES,"Cutting, sizing and polishing of marble stone",Granite and Stone Crushing,0.95,20,27/12/2021,17/01/2022,Yet to Start Construction,Yes,OBC
Karimnagar,Kothapally,Khazipur,MARUTI INDUSTRIES,"Cutting, sizing and polishing of marble stone",Granite and Stone Crushing,1.5889,18,01/01/2022,17/01/2022,Yet to Start Construction,Yes,General
Karimnagar,Kothapally,Asifnagar,SHREE HARIOM EXPORTS,Granite / Stone Cutting and Polishing,Others,1.35,15,01/01/2022,17/01/2022,Yet to Start Construction,Yes,OBC
Khammam,Mudigonda,Pammi,CHIRRA NARASIMHARAO,"Dairy Farm (Stand-alone or isolated dairy farm, having 15 animals & above)",Others,0.055,2,06/01/2022,17/01/2022,Yet to Start Construction,Yes,OBC
Khammam,Mudigonda,Pammi,CHIRRA UPENDAR RAO,"Dairy Farm (Stand-alone or isolated dairy farm, having 15 animals & above)",Others,0.055,2,06/01/2022,17/01/2022,Yet to Start Construction,Yes,OBC
Rangareddy,Serilingampally,GOPANPALLE,SAI SERVICE PVT LTD,"Automobile servicing, repairing andpainting (excluding only fuel dispensing)",Engineering,0.24,50,24/12/2021,17/01/2022,Yet to Start Construction,Yes,General
Karimnagar,Kothapally,Khazipur,SAI KRUPA GRANITES,"Cutting, sizing and polishing of marble stone",Granite and Stone Crushing,0.98,15,28/12/2021,17/01/2022,Yet to Start Construction,Yes,General
Vikarabad,Kulkacharla,Ippaipalle,M/s. ANNAPURNA INDUSTRIES,Rice mill (Rice hullers only),Food Processing,0.25,8,04/01/2022,15/01/2022,Yet to Start Construction,Yes,OBC
Rangareddy,Ibrahimpatnam,Adibatla,FRESH LIFE AQUAA LLP,Fish processing and packing (excluding chilling of fishes),Food Processing,0.15,4,06/01/2022,14/01/2022,YET TO START CONSTRUCTION,Yes,General
Medchal,Dundigal Gandimaisamma,Doolapally,M/S. A. P. SUNITHA,Cardboard or corrugated box and paper products (excluding paper or pulp manufacturing and without using boilers),Paper and Printing,0.25,4,08/01/2022,14/01/2022,Yet to Start Construction,Yes,General
Medchal,Dundigal Gandimaisamma,Doolapally,M/S. S P P POLYMERS,Polythene and plastic processed products manufacturing(Virgin Plastic),Plastic and Rubber,0.25,9,03/01/2022,14/01/2022,Yet to Start Construction,Yes,General
Rangareddy,Saroornagar,Mansoorabad,SRI RAJA RAJESWARI OIL MILL,Oil mill ghani & extraction ( no hydrogenation / refining),Food Processing,0.25,4,04/01/2022,14/01/2022,Yet to Start Construction,Yes,General
Medchal,Ghatkesar,Cherlapally,B A ENTERPRISES,Engineering and fabrication units (dry process without any heat treatment / metal surface finishing operations / painting),Engineering,0.25,6,10/01/2022,14/01/2022,Yet to Start Construction,Yes,General
Nagarkurnool,Achampet,Achampet,M/s SRI LAXMI NARASIMHA SWAMY INDUSTRIES,Rice mill (Rice hullers only),Food Processing,3.07,16,07/01/2022,14/01/2022,Yet to Start Construction,Yes,General
Nizamabad,Kotgiri,Jallapalle,M/s MEERA BAI POULTRY FARM,Food and food processing including fruits and vegetable processing,Food Processing,0.15,5,04/01/2022,14/01/2022,Yet to Start Construction,Yes,ST
Nalgonda,Chityala,Aipoor,FEATHER INKS,Printing ink manufacturing,Pharmaceuticals and Chemicals,1.0131,12,11/10/2021,13/01/2022,Yet to Start Construction,Yes,OBC
Sangareddy,Patancheru,Patancheru,M/S BCR OXYAIR ENTERPRISES,Medical oxygen,Pharmaceuticals and Chemicals,1.95,5,06/01/2022,13/01/2022,Yet to Start Construction,Yes,General
Karimnagar,Ramadugu,Deshrajpalle,M/s. MEGHA INDUSTRIES,Food and food processing including fruits and vegetable processing,Food Processing,0.235,15,03/01/2022,13/01/2022,Yet to Start Construction,Yes,OBC
Sircilla,Mustabad,Moraipalle,M/s. ANJANA FLY ASH BRICKS,Fly ash bricks/ block manufacturing,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.245,10,03/01/2022,13/01/2022,Yet to Start Construction,Yes,OBC
Sircilla,Gambhiraopet,Samudralingapuram,M/s. MALLIKARJUNA BRICKS,"Cement products (without using asbestos / boiler / steam curing) like pipe ,pillar, jafri, well ring, block/tiles etc.(should be done in closed covered shed to control fugitive emissions)","Cement, Cement & Concrete Products, Fly Ash Bricks",0.195,8,07/01/2022,13/01/2022,Yet to Start Construction,Yes,General
Sangareddy,Jinnaram,Bollaram,KOPPERT SUSTAINABLE SOLUTIONS (INDIA) LTD.,Bio fertilizer and bio-pesticides without using inorganic chemicals,"Fertlizers Organic and Inorganic,Pesticides,Insecticides, and Other Related",1.2125,9,12/01/2022,13/01/2022,Yet to Start Construction,Yes,General
